PCA1,PCA10,normalized,original
66.19160728424386,66.19160728424386,66.19160728424386,66.19160728424386
62.86619160728424,64.05384006334126,63.49960411718131,65.24148851939826
64.44972288202692,63.97466349960412,64.29136975455265,64.68725257323833
63.49960411718131,64.44972288202692,63.57878068091845,64.52889944576405
64.29136975455265,64.29136975455265,64.29136975455265,64.29136975455265
64.21219319081551,64.21219319081551,64.21219319081551,64.21219319081551
62.23277909738717,63.262074425969914,62.94536817102138,63.97466349960412
64.13301662707839,64.05384006334126,62.54948535233571,62.47030878859857
62.94536817102138,64.68725257323833,63.10372129849564,62.31195566112431
60.01583531274743,58.90736342042755,58.51148060174189,59.38242280285036
59.14489311163896,47.66429136975455,59.77830562153603,59.30324623911322
59.61995249406176,58.43230403800475,58.82818685669042,59.224069675376086
58.43230403800475,58.43230403800475,58.43230403800475,58.43230403800475
58.43230403800475,58.43230403800475,58.43230403800475,58.43230403800475
58.43230403800475,58.43230403800475,58.43230403800475,58.43230403800475
57.957244655581945,57.957244655581945,57.957244655581945,57.957244655581945
57.086302454473476,57.086302454473476,57.086302454473476,57.086302454473476
56.452889944576405,56.452889944576405,56.452889944576405,56.452889944576405
56.452889944576405,55.10688836104513,55.10688836104513,56.13618368962787
56.057007125890735,56.057007125890735,56.057007125890735,56.057007125890735
59.14489311163896,59.30324623911322,45.051464766429135,54.86935866983373
54.790182106096594,54.790182106096594,54.790182106096594,54.790182106096594
54.156769596199524,54.156769596199524,54.156769596199524,54.156769596199524
57.79889152810768,57.87806809184482,46.15993665874901,44.89311163895487
44.813935075217735,44.813935075217735,44.813935075217735,44.813935075217735
42.59699129057799,58.90736342042755,59.30324623911322,42.59699129057799
